Q2,happiness
18,8.7
19,8.5
20,8.3
21,8.6
22,8.1
23,8.3
24,7.9
25,8.1
26,7.9
27,7.8
28,7.4
29,7.8
30,7.5
31,7.4
32,7.0
33,7.3
34,7.4
35,7.0
36,6.9
37,6.5
38,7.0
39,6.5
40,6.5
41,6.2
42,6.4
43,6.2
44,6.6
45,6.0
46,6.2
47,6.4
48,6.5
49,6.7
50,6.2
51,6.9
52,6.4
53,6.784090909090909
54,6.64
55,7.223404255319149
56,6.75
57,6.696629213483146
58,6.793103448275862
59,6.809523809523809
60,6.648936170212766
61,7.322222222222222
62,6.849056603773585
63,6.759036144578313
64,7.325581395348837
65,7.066037735849057
66,7.545454545454546
67,7.872340425531915
68,7.337349397590361
69,7.635135135135135
70,7.162162162162162
71,7.259740259740259
72,7.901639344262295
73,8.071428571428571
74,8.466666666666667
75,8.533333333333333
76,8.181818181818182
77,8.25
78,8.375
79,8.785714285714286
80,8.615384615384615
81,9.0625
82,9.2
83,9.2
84,8.75
85,9
86,9
87,9
88,9
89,9.5
90,9.5
91,9.5
92,10.0
93,10.0
