Q1,Q2,MRK_Age,Age_groups,Q3,Q3r5oe,Q4,State,Region,States_Division,Q5a,QS5br1,QS5br2,QS5br3,QS5br4,QS5br5,QS5br6,QS5br6oe,Q5_a__1,Q5_b__1,Q5_c__1,Q5_d__1,Q6,Vir_Q7r1,Vir_Q7r2,Vir_Q7r3,Vir_Q7r4,Vir_Q7r5,Vir_Q7r6,Vir_Q7r7,Vir_Q7r8,Vir_Q7r9,Vir_Q7r10,Vir_Q7r11,Vir_Q7r12,Vir_Q7r13,Vir_Q7r14,Vir_Q7r15,Vir_Q7r16,Vir_Q7r17,Vir_Q7r18,Vir_Q7r19,D1,D2,D3,D5,QD6,happiness,anxiety
English,70,65+,45+,Man,,95409,California,West,Pacific,No,Selected,Other,Other,Other,Other,Other,,7,10 - completely,9,1,My wife and my quiet life.,Selected,Selected,Other,Other,Other,Other,Selected,Other,Selected,Selected,Other,Selected,Selected,Selected,Selected,Selected,Other,Other,Other,"$50,000 - $74,999",Some college,I am retired,Married,None,9,1
English,72,65+,45+,Woman,,98362,Washington,West,Pacific,No,Selected,Other,Other,Other,Other,Other,,5,5,5,4,Out in the woods hiking on a sunny day.,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$75,000 - $99,999",Some college,I work full time,Married,1,5,4
English,81,65+,45+,Man,,47150,Indiana,Midwest,East North Central,No,Selected,Other,Other,Other,Other,Other,,10 - completely,10 - completely,10 - completely,1,knowing that I am a Christian,Other,Selected,Other,Other,Selected,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$50,000 - $74,999",Completed high school,I am retired,Married,None,10,1
English,37,35-44,<45,Woman,,91406,California,West,Pacific,No,Selected,Other,Other,Other,Other,Other,,7,8,6,9,My kids and my family,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,Other,"$150,000 or greater",Completed college,I work full time,Married,2,6,9
English,69,65+,45+,Woman,,32404,Florida,South,South Atlantic,No,Selected,Other,Other,Other,Selected,Other,,6,7,7,7,going to the beach and enjoying life,Selected,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,"$25,000 - $49,999",Completed college,I am retired,Married,None,7,7
English,63,55-64,45+,Man,,1752,Massachusetts,Northeast,New England,No,Selected,Other,Other,Other,Other,Other,,4,3,2,6,To receive a lot of money so I can retire.,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,"Up to $24,999",Graduate degree,I work full time,Married,None,2,6
English,68,65+,45+,Woman,,95336,California,West,Pacific,No,Selected,Other,Other,Other,Other,Other,,5,5,3,7,"Nature, quiet, space, privacy, family, cleanliness, Bible study, prayer,animals, gardening, solitude, clean living. Good manners. Loyalty, honesty,  kindness. Sharing, humor, empathy, mental regulation. Calmness. Peace. Patience. Happy people. Helping others.  Good intellectual conversation. Antiques. Vintage tools. Vintage anything. Family photos. Hand written letters. Sunday drives. Country. Sky. Wild flowers. Pets. Simplicity. Organization. Health. Home.  Memories. Loyal friends. Sunsets. Giving.",Selected,Selected,Other,Other,Selected,Selected,Selected,Other,Selected,Selected,Other,Selected,Selected,Other,Selected,Selected,Other,Selected,Other,"$75,000 - $99,999",Some college,I am retired,Married,None,3,7
English,70,65+,45+,Woman,,1104,Massachusetts,Northeast,New England,No,Selected,Other,Other,Other,Other,Other,,4,2,2,9,I'm happy when I can help other people and when I am feeling useless and can't help anyone I'm not happy,Selected,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Some college,I am retired,Separate or divorced,None,2,9
English,51,45-54,45+,Woman,,32216,Florida,South,South Atlantic,No,Selected,Other,Other,Other,Other,Other,,7,8,8,7,Being with my cats,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,Selected,Other,"$150,000 or greater",Graduate degree,I work full time,Separate or divorced,None,8,7
English,77,65+,45+,Man,,38257,Tennessee,South,East South Central,No,Selected,Other,Other,Other,Other,Other,,8,10 - completely,8,0 - not at all,Playing with my grandchildren!,Selected,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Completed college,I am retired,Married,None,8,0
English,60,55-64,45+,Woman,,46312,Indiana,Midwest,East North Central,No,Other,Selected,Other,Other,Other,Other,,4,5,5,6,"Health, Husband, Money",Other,Other,Other,Other,Selected,Other,Selected,Other,Other,Other,Other,Selected,Selected,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Some college,I am unemployed,Married,None,5,6
English,79,65+,45+,Woman,,40218,Kentucky,South,East South Central,No,Selected,Other,Other,Other,Other,Other,,9,10 - completely,10 - completely,0 - not at all,Spending quality time with my grandsons,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,"$75,000 - $99,999",Graduate degree,I am retired,Married,None,10,0
English,57,55-64,45+,Woman,,78221,Texas,South,West South Central,No,Selected,Other,Other,Other,Other,Other,,8,7,7,5,my family and friends me the happiest,Selected,Selected,Other,Other,Selected,Other,Other,Other,Other,Selected,Other,Selected,Other,Other,Selected,Other,Other,Other,Other,"$25,000 - $49,999",Completed high school,I work full time,"Single, never been married",None,7,5
English,46,45-54,45+,Man,,48655,Michigan,Midwest,East North Central,No,Selected,Other,Other,Other,Other,Other,,7,8,7,6,"Being home with family.  Hunting and fishing, outdoor activities.  Riding motorcycles.",Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Selected,Other,"$100,000 - $149,999",Graduate degree,I work full time,Married,None,7,6
English,49,45-54,45+,Woman,,53511,Wisconsin,Midwest,East North Central,No,Selected,Other,Other,Other,Other,Other,,6,5,4,5,"being with family, but having peaceful time for myself",Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$50,000 - $74,999",Completed high school,I am a stay-at-home mom/dad,Married,3,4,5
English,71,65+,45+,Woman,,72846,Arkansas,South,West South Central,No,Selected,Other,Other,Other,Other,Other,,0 - not at all,0 - not at all,5,10 - completely,Getting to see my kids and grand kids,Selected,Selected,Selected,Other,Selected,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Completed high school,I am unemployed,Married,None,5,10
English,52,45-54,45+,Woman,,52002,Iowa,Midwest,West North Central,No,Selected,Other,Other,Other,Other,Other,,5,7,10 - completely,0 - not at all,Being around my family and with my boyfriend makes me happy.  The love and comfort I get from them makes me feel complete.,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Selected,Other,Other,Other,Other,Other,"$50,000 - $74,999",Completed college,I am unemployed,Living with a partner,None,10,0
English,73,65+,45+,Woman,,28754,North Carolina,South,South Atlantic,No,Selected,Other,Other,Other,Other,Other,,9,10 - completely,9,9,Being at home with my animals and spending time outside.,Other,Selected,Selected,Selected,Other,Selected,Other,Other,Other,Selected,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,"$25,000 - $49,999",Completed college,I am retired,Widowed,None,9,9
English,65,65+,45+,Woman,,20878,Maryland,South,South Atlantic,No,Selected,Other,Other,Other,Other,Other,,8,8,9,2,Having my family healthy and happy.,Selected,Selected,Other,Other,Other,Selected,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,"$50,000 - $74,999",Completed college,I am retired,Married,None,9,2
English,35,35-44,<45,Man,,77071,Texas,South,West South Central,No,Other,Selected,Other,Other,Other,Other,,7,7,7,0 - not at all,Making money and hanging out with friends or family.,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"$50,000 - $74,999",Completed high school,I am unemployed,"Single, never been married",None,7,0
English,49,45-54,45+,Woman,,48610,Michigan,Midwest,East North Central,No,Selected,Other,Other,Other,Other,Other,,10 - completely,10 - completely,10 - completely,10 - completely,God and my Family make me happy,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Trade/technical school,I am a stay-at-home mom/dad,Married,None,10,10
English,56,55-64,45+,Woman,,27978,North Carolina,South,South Atlantic,No,Selected,Other,Other,Other,Other,Other,,7,9,4,0 - not at all,"Family and friends, quiet time",Selected,Selected,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Selected,Other,Other,Selected,Selected,Other,Other,Other,"Up to $24,999",Completed high school,I am a stay-at-home mom/dad,Married,None,4,0
