state,stateShort,lifeSat,worthwhile,happiness,anxiety,lifeSatRank,worthwhileRank,happyRank,anxietyRank
Alabama,AL,6.78,7.04,6.99,4.99,12,16,9,1
Alaska,AK,6.4,6.52,6.37,4.29,35,46,41,20
Arizona,AZ,6.71,7.05,6.89,4.3,15,15,15,19
Arkansas,AR,6.32,6.8,6.8,4.2,41,34,20,28
California,CA,6.79,7.0,6.89,4.04,11,18,16,39
Colorado,CO,6.42,6.65,6.35,4.35,34,40,42,14
Connecticut,CT,6.25,6.84,6.16,4.66,45,30,47,6
Delaware,DE,7.12,7.28,7.23,3.68,1,6,2,48
Florida,FL,7.01,7.44,6.88,4.06,4,3,18,37
Georgia,GA,7.11,7.54,7.43,4.62,2,1,1,7
Hawaii,HI,6.31,6.84,6.62,3.53,43,31,31,50
Idaho,ID,6.45,6.82,6.52,4.08,30,33,37,35
Illinois,IL,6.76,7.21,7.1,4.43,14,11,4,10
Indiana,IN,6.51,6.6,6.43,4.47,26,42,40,9
Iowa,IA,6.49,6.59,6.33,4.16,28,43,43,29
Kansas,KS,6.31,6.5,6.33,4.69,42,47,44,5
Kentucky,KY,6.62,7.0,6.53,4.61,21,19,36,8
Louisiana,LA,6.57,7.3,6.69,4.25,24,4,24,25
Maine,ME,6.28,6.79,6.54,4.12,44,36,35,33
Maryland,MD,6.62,7.16,6.94,4.26,20,13,11,23
Massachusetts,MA,6.37,6.78,6.67,4.33,38,37,28,15
Michigan,MI,6.67,6.98,6.68,4.09,16,20,25,34
Minnesota,MN,6.43,6.86,6.68,4.23,33,26,26,26
Mississippi,MS,6.44,6.85,6.64,4.15,31,28,30,30
Missouri,MO,6.61,6.83,6.75,4.23,22,32,22,27
Montana,MT,6.65,6.96,6.89,3.73,18,22,14,46
Nebraska,NE,6.83,7.24,7.07,3.92,9,7,7,44
Nevada,NV,6.59,7.08,7.09,3.87,23,14,5,45
New Hampshire,NH,6.32,6.66,6.55,4.05,40,39,34,38
New Jersey,NJ,6.77,7.21,6.96,3.6,13,12,10,49
New Mexico,NM,6.51,6.84,6.65,4.35,27,29,29,13
New York,NY,6.83,7.23,6.79,4.14,7,8,21,31
North Carolina,NC,6.81,7.03,7.07,3.69,10,17,6,47
North Dakota,ND,6.83,6.94,6.68,4.08,8,23,27,36
Ohio,OH,6.43,6.96,6.94,3.99,32,21,12,42
Oklahoma,OK,5.83,6.44,6.11,4.84,49,48,49,3
Oregon,OR,5.79,6.15,5.69,4.31,50,50,50,18
Pennsylvania,PA,6.38,6.94,6.6,4.33,37,24,32,16
Rhode Island,RI,6.16,6.73,6.71,4.26,47,38,23,22
South Carolina,SC,7.09,7.5,7.14,4.13,3,2,3,32
South Dakota,SD,6.92,7.21,6.88,3.94,5,10,17,43
Tennessee,TN,6.66,7.22,6.83,4.26,17,9,19,24
Texas,TX,6.4,6.57,6.3,4.88,36,44,45,2
Utah,UT,6.45,6.61,6.48,4.27,29,41,38,21
Vermont,VT,6.37,6.57,6.48,4.77,39,45,39,4
Virginia,VA,6.62,6.85,6.89,4.01,19,27,13,40
Washington,WA,6.16,6.43,6.15,4.41,48,49,48,12
West Virginia,WV,6.24,6.8,6.27,4.32,46,35,46,17
Wisconsin,WI,6.85,7.3,7.0,4.01,6,5,8,41
Wyoming,WY,6.52,6.88,6.57,4.42,25,25,33,11
